Age 35 & older:	APPLICANT MUST BE 35 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS														
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee			
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"				
1-370	210	176	150	49	68	109	149	22	63	89	123	186			
371-575	263	220	188	55	78	123	165	27	75	107	147	186			
576-750	304	256	218	59	82	130	173	28	78	112	154	186			
751-950	319	270	229	67	93	147	197	29	81	115	158	186			
951-1210	454	385	328	79	111	178	241	34	96	138	189	186			
1211-1400	489	414	353	87	123	194	259	36	101	144	199	186			
1401 & Over	505	427	364	97	135	210	278	38	106	151	208	186			
Mopeds	N/A			34	47	75	101	15	43	62	85	186			
															
Age 30-34:	APPLICANT MUST BE 30 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS														
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee			
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"				
1-370	317	264	224	52	72	114	154	21	59	84	116	186			
371-575	388	325	276	60	83	130	173	25	70	100	138	186			
576-750	446	373	317	65	89	137	182	26	74	105	145	186			
751-950	470	394	334	72	100	156	207	27	76	109	149	186			
951-1210	653	550	468	85	119	187	252	32	91	130	178	186			
1211-1400	702	590	502	95	131	205	271	34	95	136	187	186			
1401 & Over	726	611	520	107	146	224	293	36	100	143	196	186			
Mopeds	N/A			36	50	79	105	15	41	58	80	186			
															
Age 26-29:	APPLICANT MUST BE 26 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENTS AND /OR 3 TICKETS IN THE LAST THREE YEARS														
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee			
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"				
1-370	372	310	263	64	89	141	188	21	59	84	116	186			
371-575	455	380	323	74	103	159	211	25	70	100	138	186			
576-750	522	437	371	79	110	169	222	26	74	105	145	186			
751-950	551	462	392	88	123	190	252	27	76	109	149	186			
951-1210	765	643	547	104	145	230	306	32	91	130	178	186			
1211-1400	820	690	588	117	161	250	330	34	95	136	187	186			
1401 & Over	850	714	607	131	178	275	359	36	100	143	196	186			
Mopeds	N/A			44	62	97	128	15	41	58	80	186			
															
Age 21-25:	APPLICANT MUST BE 21 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS														
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee			
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"				
1-370	486	404	342	86	119	185	242	28	78	111	153	186			
371-575	590	493	418	103	139	211	274	33	93	133	182	186			
576-750	675	564	480	111	149	224	290	35	97	139	191	186			
751-950	712	596	505	121	165	251	327	36	100	143	197	186			
951-1210	982	824	701	142	196	301	394	43	120	171	235	186			
1211-1400	1053	884	752	162	220	332	429	45	126	180	247	186			
1401 & Over	1091	916	778	184	245	367	472	47	132	188	259	186			
Mopeds	N/A			61	83	127	166	19	54	77	106	186			
															
Age 20 & under:	MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS. APPLICANTS 20 AND YOUNGER WISHING TO INSURE A MOTORCYCLE 501CC OR LARGER ARE REQUIRED TO HAVE AN  MICHIGAN MOTORCYCLE DRIVER'S LICENSE. A MOTORCYCLE PERMIT  FOR MOTORCYCLES 500CC OR SMALLER														
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee			
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"				
1-370	587	489	414	101	137	207	267	33	91	130	179	186			
371-575	714	597	506	121	160	240	306	39	109	155	213	186			
576-750	817	684	580	131	173	256	325	41	114	163	223	186			
751-950	864	722	612	144	192	285	364	42	117	168	230	186			
951-1210	1190	999	849	167	224	338	436	50	140	200	275	186			
1211-1400	1276	1072	911	193	256	378	482	53	147	210	289	186			
1401 & Over	1322	1110	944	218	287	422	532	55	154	220	303	186			
Mopeds	N/A			72	97	143	184	23	63	90	124	186			
															
															
															
															
															
															
