Age 35 & older:	APPLICANT MUST BE 35 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS											
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"	
1-370	327	275	234	76	110	181	248	27	75	107	148	186
371-575	411	347	296	87	123	201	273	32	90	128	176	186
576-750	477	403	344	92	130	211	285	34	94	134	184	186
751-950	502	425	362	103	148	239	327	35	97	138	190	186
951-1210	720	609	520	124	179	292	402	41	116	165	227	186
1211-1400	774	656	560	136	194	313	426	43	121	173	238	186
1401 & Over	799	677	578	149	210	338	455	45	127	182	250	186
Mopeds	N/A			53	75	123	168	19	52	74	102	186
												
Age 30-34:	APPLICANT MUST BE 30 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS											
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"	
1-370	486	407	346	81	115	187	255	25	71	101	139	186
371-575	600	504	427	92	131	210	283	30	84	121	166	186
576-750	691	580	493	98	138	220	296	32	88	126	174	186
751-950	729	611	520	110	157	250	339	33	91	130	179	186
951-1210	1021	861	733	132	187	304	414	39	109	156	214	186
1211-1400	1097	925	788	145	205	328	442	41	114	163	225	186
1401 & Over	1135	957	815	161	224	355	475	43	120	171	235	186
Mopeds	N/A			56	79	128	174	17	49	70	96	186
												
Age 26-29:	APPLICANT MUST BE 26 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENTS AND /OR 3 TICKETS IN THE LAST THREE YEARS											
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"	
1-370	570	477	405	99	141	229	312	25	71	101	139	186
371-575	703	590	500	113	159	255	345	30	84	121	166	186
576-750	809	680	577	121	169	269	361	32	88	126	174	186
751-950	853	716	609	135	190	306	411	33	91	130	179	186
951-1210	1195	1007	857	161	231	371	504	39	109	156	214	186
1211-1400	1282	1082	921	178	250	399	538	41	114	163	225	186
1401 & Over	1327	1119	952	196	275	433	579	43	120	171	235	186
Mopeds	N/A			68	96	156	211	17	49	70	96	186
												
Age 21-25:	APPLICANT MUST BE 21 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS											
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"	
1-370	741	618	524	130	184	292	392	33	93	134	184	186
371-575	907	760	645	152	212	330	438	40	111	159	219	186
576-750	1041	873	741	163	224	349	462	42	117	167	230	186
751-950	1099	921	782	181	251	394	524	43	120	172	237	186
951-1210	1528	1286	1094	215	302	476	636	51	144	205	282	186
1211-1400	1640	1381	1175	241	333	518	686	54	151	216	297	186
1401 & Over	1697	1429	1215	270	368	567	744	56	158	226	311	186
Mopeds	N/A			92	127	200	267	23	65	92	127	186
												
Age 20 & under:	MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS. APPLICANTS 20 AND YOUNGER WISHING TO INSURE A MOTORCYCLE 501CC OR LARGER ARE REQUIRED TO HAVE AN  MICHIGAN MOTORCYCLE DRIVER'S LICENSE. A MOTORCYCLE PERMIT  FOR MOTORCYCLES 500CC OR SMALLER											
Engine Size	P1	P2	P3	Limits of Liability				Med Pay				MCCA Fee
(CC's)	2015 & 2014	2013 & 2012	2011 & older	20/40/10	50/100/25	100/300/50	250/500/100	5000	"10,000"	"15,000"	"20,000"	
1-370	897	749	634	150	207	321	425	39	109	156	215	186
371-575	1099	920	782	176	240	367	479	47	130	186	256	186
576-750	1262	1058	898	189	257	390	507	49	137	195	268	186
751-950	1331	1116	948	210	286	438	573	50	141	201	276	186
951-1210	1852	1559	1326	246	340	525	690	60	168	240	330	186
1211-1400	1989	1674	1425	280	379	578	752	63	176	252	347	186
1401 & Over	2058	1732	1474	315	423	638	822	66	185	264	363	186
Mopeds	N/A			106	143	221	291	27	76	108	149	186
