Age 35 & older:	APPLICANT MUST BE 35 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	133	109	83	8	76	104	135	155	27	44
371-575	162	131	99	8	91	124	159	181	28	46
576-750	222	174	130	8	101	139	176	201	34	55
751-950	271	209	156	8	104	142	180	205	34	55
951-1210	423	326	243	8	116	160	201	228	36	59
1211-1400	484	376	282	8	141	196	243	275	42	69
1401 & Over	722	570	431	8	147	203	251	284	42	69
Mopeds	N/A				60	81	110	126	7	11
										
Age 30-34:	APPLICANT MUST BE 30 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	166	136	104	8	82	111	145	164	34	55
371-575	204	163	124	8	99	135	172	196	35	58
576-750	278	217	163	8	112	153	194	220	42	69
751-950	340	261	195	8	115	157	198	225	42	69
951-1210	530	406	304	8	130	179	223	253	45	74
1211-1400	605	471	352	8	160	222	271	308	53	87
1401 & Over	902	713	539	8	166	231	282	320	53	87
Mopeds	N/A				63	85	114	131	8	14
										
Age 26-29:	APPLICANT MUST BE 26 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENTS AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	324	270	209	8	106	144	183	208	34	55
371-575	385	314	241	8	135	186	231	262	35	58
576-750	508	403	306	8	157	217	266	302	42	69
751-950	610	477	359	8	161	223	274	310	42	69
951-1210	946	737	552	8	188	259	316	358	45	74
1211-1400	1099	866	654	8	239	332	399	452	53	87
1401 & Over	1677	1346	1023	8	249	347	417	472	53	87
Mopeds	N/A				74	100	131	150	8	14
										
Age 21-25:	APPLICANT MUST BE 21 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENTS AND /OR 2 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	416	345	265	8	137	187	233	264	64	105
371-575	498	404	308	8	182	251	306	347	66	109
576-750	662	522	395	8	214	298	361	408	80	132
751-950	797	620	466	8	221	307	371	420	80	132
951-1210	1238	959	719	8	261	364	437	493	85	141
1211-1400	1432	1125	848	8	339	475	563	637	100	165
1401 & Over	2173	1738	1320	8	356	498	591	668	100	165
Mopeds	N/A				87	120	154	176	16	26
										
Age 20 & under:	MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS. APPLICANTS 20 AND YOUNGER WISHING TO INSURE A MOTORCYCLE 501CC OR LARGER ARE REQUIRED TO HAVE AN  VIRGINIA MOTORCYCLE DRIVER'S LICENSE. A MOTORCYCLE PERMIT  FOR MOTORCYCLES 500CC OR SMALLER									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	438	361	277	8	183	254	310	351	67	111
371-575	531	428	326	8	253	352	423	478	70	115
576-750	718	563	424	8	304	425	506	572	84	139
751-950	871	674	505	8	314	439	523	591	84	139
951-1210	1357	1046	782	8	375	525	623	704	90	148
1211-1400	1558	1216	915	8	496	696	820	925	105	173
1401 & Over	2341	1860	1408	8	522	732	861	972	105	173
Mopeds	N/A				108	149	189	215	17	28
										
										
