Sr No	Rating Symbol	Make	Model	Type	Year	CC	MSRP	Eff Date	Rn Date
1	3 WHEEL CYCLE	THE TRIKE SHOP	ROADHAWK	MC	2006	1835	1	1-Jan-00	1-Jan-00
2	3-W	BOMBARDIER	SPYDER	MC	2008	990	1	1-Jan-00	1-Jan-00
3	3-W	BOSS HOSS	BHC 9 LS3 TRIKE	MC	2010	6200	1	1-Jan-00	1-Jan-00
4	3-W	BOSS HOSS	BHC-9 LS4 TRIKE	MC	2013	6200	1	1-Jan-00	1-Jan-00
5	3-W	BOSS HOSS	BHC-9LS445	MC	2014	6200	1	1-Jan-00	1-Jan-00
6	3-W	CAMPAGNA	T REX	MC	2001	1100	1	1-Jan-00	1-Jan-00
7	3-W	CAMPAGNA	T REX	MC	2002	1100	1	1-Jan-00	1-Jan-00
8	3-W	CAMPAGNA	T REX	MC	2003	1200	1	1-Jan-00	1-Jan-00
9	3-W	CAMPAGNA	T REX	MC	2004	1200	1	1-Jan-00	1-Jan-00
10	3-W	CAMPAGNA	T REX	MC	2005	1200	1	1-Jan-00	1-Jan-00
11	3-W	CAMPAGNA	T REX	MC	2006	1200	1	1-Jan-00	1-Jan-00
12	3-W	CAMPAGNA	T REX	MC	2007	1400	1	1-Jan-00	1-Jan-00
13	3-W	CAMPAGNA	T REX	MC	2010	1400	1	1-Jan-00	1-Jan-00
14	3-W	CAMPAGNA	T REX TR	MC	2003	1750	1	1-Jan-00	1-Jan-00
15	3-W	CAMPAGNA	T-REX	MC	2011	1400	1	1-Jan-00	1-Jan-00
16	3-W	CAMPAGNA	T-REX	MC	2012	1400	1	1-Jan-00	1-Jan-00
17	3-W	CAMPAGNA	V13R	MC	2011	1250	1	1-Jan-00	1-Jan-00
18	3-W	CAMPAGNA	V13R	MC	2014	1250	1	1-Jan-00	1-Jan-00
19	3-W	CAN AM	SPYDER	MC	2009	990	1	1-Jan-00	1-Jan-00
20	3-W	CAN AM	SPYDER	MC	2010	998	1	1-Jan-00	1-Jan-00
21	3-W	CAN AM	SPYDER GS	MC	2011	998	1	1-Jan-00	1-Jan-00
22	3-W	CAN AM	SPYDER ROADSTER RT LTD	MC	2011	998	1	1-Jan-00	1-Jan-00
23	3-W	CAN AM	SPYDER RS SES	MC	2012	998	1	1-Jan-00	1-Jan-00
24	3-W	CAN AM	SPYDER RSS	MC	2014	998	1	1-Jan-00	1-Jan-00
25	3-W	CAN-AM	SPYDER GS	MC	2008	998	1	1-Jan-00	1-Jan-00
26	3-W	CAN-AM	SPYDER GS	MC	2009	998	1	1-Jan-00	1-Jan-00
27	3-W	CAN-AM	SPYDER GS SE5	MC	2008	998	1	1-Jan-00	1-Jan-00
28	3-W	CAN-AM	SPYDER ROADSTER RT-S	MC	2012	998	1	1-Jan-00	1-Jan-00
29	3-W	CAN-AM	SPYDER RS S SE5	MC	2012	998	1	1-Jan-00	1-Jan-00
30	3-W	CAN-AM	SPYDER RS SM5	MC	2011	998	1	1-Jan-00	1-Jan-00
31	3-W	CAN-AM	SPYDER RS SM5	MC	2014	998	1	1-Jan-00	1-Jan-00
32	3-W	CAN-AM	SPYDER RS-S	MC	2014	998	1	1-Jan-00	1-Jan-00
33	3-W	CAN-AM	SPYDER RS-S SE5	MC	2011	998	1	1-Jan-00	1-Jan-00
34	3-W	CAN-AM	SPYDER RS-S SE5	MC	2013	998	1	1-Jan-00	1-Jan-00
35	3-W	CAN-AM	SPYDER RSS	MC	2011	998	1	1-Jan-00	1-Jan-00
36	3-W	CAN-AM	SPYDER RT	MC	2013	998	1	1-Jan-00	1-Jan-00
37	3-W	CAN-AM	SPYDER RT	MC	2014	998	1	1-Jan-00	1-Jan-00
38	3-W	CAN-AM	SPYDER RT	MC	2014	1330	1	1-Jan-00	1-Jan-00
39	3-W	CAN-AM	SPYDER RT LIMITED	MC	2014	998	1	1-Jan-00	1-Jan-00
40	3-W	CAN-AM	SPYDER RT LIMITED	MC	2014	1330	1	1-Jan-00	1-Jan-00
41	3-W	CAN-AM	SPYDER RT LIMITED	MC	2015	1330	1	1-Jan-00	1-Jan-00
42	3-W	CAN-AM	SPYDER RT S	MC	2014	998	1	1-Jan-00	1-Jan-00
43	3-W	CAN-AM	SPYDER RT S SE5	MC	2012	998	1	1-Jan-00	1-Jan-00
44	3-W	CAN-AM	SPYDER RT SE5 LIMITED	MC	2013	998	1	1-Jan-00	1-Jan-00
45	3-W	CAN-AM	SPYDER RT SE6 LIMITED	MC	2014	998	1	1-Jan-00	1-Jan-00
46	3-W	CAN-AM	SPYDER RT SES LIMITED	MC	2012	998	1	1-Jan-00	1-Jan-00
47	3-W	CAN-AM	SPYDER RT SSE	MC	2012	998	1	1-Jan-00	1-Jan-00
48	3-W	CAN-AM	SPYDER RT-S	MC	2014	1330	1	1-Jan-00	1-Jan-00
49	3-W	CAN-AM	SPYDER RT-S SE5	MC	2011	998	1	1-Jan-00	1-Jan-00
50	3-W	CAN-AM	SPYDER RT-S SE6	MC	2014	998	1	1-Jan-00	1-Jan-00
51	3-W	CAN-AM	SPYDER RT-S SM5	MC	2012	998	1	1-Jan-00	1-Jan-00
52	3-W	CAN-AM	SPYDER RT-SE6	MC	2014	1330	1	1-Jan-00	1-Jan-00
53	3-W	CAN-AM	SPYDER ST LIMITED	MC	2013	998	1	1-Jan-00	1-Jan-00
54	3-W	CAN-AM	SPYDER ST S SE5	MC	2013	998	1	1-Jan-00	1-Jan-00
55	3-W	CAN-AM	ST LIMITED	MC	2014	998	1	1-Jan-00	1-Jan-00
56	3-W	CUSTOM	TRIKE	MC	1976	1300	1	1-Jan-00	1-Jan-00
57	3-W	HARLEY-DAVIDSON	FLHTCUTG	MC	2015	1687	1	1-Jan-00	1-Jan-00
58	3-W	HARLEY-DAVIDSON	FLHTCUTG TRIGLIDE	MC	2014	1687	1	1-Jan-00	1-Jan-00
59	3-W	HARLEY-DAVIDSON	FLHTCUTG TRIGLIDE UL CL ANN	MC	2013	1687	1	1-Jan-00	1-Jan-00
60	3-W	HARLEY-DAVIDSON	FLHTCUTG TRIGLIDE UL CLSC	MC	2013	1687	1	1-Jan-00	1-Jan-00
61	3-W	HARLEY-DAVIDSON	FLHTUCTG	MC	2014	1687	1	1-Jan-00	1-Jan-00
62	3-W	HARLEY-DAVIDSON	FLHXXX	MC	2012	1687	1	1-Jan-00	1-Jan-00
63	3-W	HONDA	SHADOW 750 TRIKE	MC	2007	750	1	1-Jan-00	1-Jan-00
64	3-W	KANDI USA	KD 250MD	MC	2012	250	1	1-Jan-00	1-Jan-00
65	3-W	NOVA TRIKES	NOVA	MC	2002	1600	1	1-Jan-00	1-Jan-00
66	3-W	RIDLEY	AUTO GLIDE TRIKE	MC	2008	738	1	1-Jan-00	1-Jan-00
67	3-W	SANTIAGO CHOPPER	FERRARI TRIKE (CUSTOM)	MC	2006	2127	1	1-Jan-00	1-Jan-00
68	3-W	SPYDER	RT S SE5	MC	2012	998	1	1-Jan-00	1-Jan-00
69	3-W	SPYDER RSS	CAN AM	MC	2011	998	1	1-Jan-00	1-Jan-00
70	3-W	SS TRIKE	117XA	MC	2011	1915	1	1-Jan-00	1-Jan-00
71	3-W	THOROUGHBRED	STALLION	MC	2007	2300	1	1-Jan-00	1-Jan-00
72	3-W	THOROUGHBRED	STALLION	MC	2008	2300	1	1-Jan-00	1-Jan-00
73	3-W	THOROUGHBRED	STALLION	MC	2010	2300	1	1-Jan-00	1-Jan-00
74	3-W	THOROUGHBRED	STALLION	MC	2011	2300	1	1-Jan-00	1-Jan-00
